project_id,verdict,n_delivery_files,n_evaluations,matched_app_file,app_status,terminated,app_fte,app_months,app_pm,n_app_repos,ks_per_pm,scope_flag,repo_url,planned_pm_census,commit_source,equivalent_sloc
PRIMIS,DELIVERED,1,1,Primis.md,,,3.0,1.38,4.14,1,1.12,,https://github.com/Primis-Labs/client,,cutoff,4.642
QSTN,DELIVERED,1,1,QSTN.md,,,8.0,15.0,120.0,1,0.09,verify-frag?,https://github.com/QSTN-US/Polkadot-QSTN-v1,120.00,cutoff,11.3915
sandox_ms3_delivery,DELIVERED,1,1,sandox.md,,,4.0,4.0,16.0,0,0.2,,https://github.com/sandoxio/sandox,16.00,cutoff,3.1568
Sandox_st1_ms1_delivery,DELIVERED,1,1,sandox.md,,,4.0,4.0,16.0,0,0.02,verify-frag?,https://github.com/sandoxio/sandox,16.00,cutoff,0.3256
Sandox_st1_ms2_delivery,DELIVERED,1,1,sandox.md,,,4.0,4.0,16.0,0,0.14,verify-frag?,https://github.com/sandoxio/sandox,16.00,cutoff,2.27
Shivarthu,DELIVERED,1,2,Shivarthu.md,,,2.0,8.0,16.0,1,0.37,,https://github.com/amiyatulu/shivarthu,16.00,commit,5.8472
signet,DELIVERED,1,2,signet.md,,,1.0,1.0,1.0,2,0.3,,https://github.com/TalismanSociety/siws,1.00,commit,0.2986
slonigiraf,DELIVERED,1,1,slonigiraf.md,,,1.0,1.0,1.0,2,0.34,,https://github.com/slonigiraf/recommendation-letter,1.00,cutoff,0.3386
sol2ink,DELIVERED,1,2,sol2ink.md,,,1.0,4.6,4.6,2,2.07,,https://github.com/727-Ventures/sol2ink,,commit,9.5047
sol2ink-delivery,DELIVERED,1,2,sol2ink.md,,,1.0,4.6,4.6,2,1.4,,https://github.com/Supercolony-net/sol2ink,,cutoff,6.4503
Standard_Protocol,DELIVERED,1,1,Standard_Protocol.md,,,1.0,2.0,2.0,2,7.8,,https://github.com/digitalnativeinc/standard-substrate,2.00,cutoff,15.5973
Starry_Network,DELIVERED,1,1,Starry_Network.md,,,1.0,2.5,2.5,1,1.81,,https://github.com/Starry-Network/starry_node,2.50,cutoff,4.5209
stone-index-on-substrate,DELIVERED,1,2,stone-index-on-substrate.md,,,3.0,0.69,2.07,2,0.45,,https://github.com/stonedefi/stone-index-substrate-ui,,cutoff,0.9237
subdao-network,DELIVERED,1,1,SubDAO_Network.md,,,4.0,2.0,8.0,0,0.11,verify-frag?,https://github.com/SubDAO-Network/subdao-node,8.00,cutoff,0.8521
subdao-network_chrome_extension,DELIVERED,1,1,SubDAO_Network.md,,,4.0,2.0,8.0,0,0.51,,https://github.com/SubDAO-Network/subdao-extension,8.00,cutoff,4.0828
