project_id,repo_url,resolved_commit,has_ci,has_tests,has_docker,has_docs,has_audit,has_lintfmt,onchain_runtime,has_contracts,dep_consensus,dep_crosschain,dep_zkcrypto,dep_contract,dep_frontend,n_pallets,n_extrinsics,n_storage,n_events,n_ink_msgs,n_sol_funcs,n_contracts_def,n_rpc,n_exports,n_funcs,n_classes,n_routes,status
admeta,https://github.com/AdMetaNetwork/admeta,d133bce5adaa41dc2acffa8f10b63928d22751b4,1,0,1,1,1,1,1,0,1,0,0,0,0,4,0,3,2,0,0,0,0,0,0,0,0,OK
Afloat,https://github.com/hashed-io/afloat-client-api,f71cb3c13690151632a0344f1421cae866c0dcfc,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,15,44,12,0,OK
agridot,https://github.com/kacena123/AgriDot,c54553b96181ed2a46c53c8c3073c5fe1c4c257a,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,33,113,9,0,OK
Aisland-DocSig,https://github.com/aisland-dao/docsig,b23cc85356d16baa35b06734492b261a45d15880,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,10,885,109,33,OK
ajuna,https://github.com/ajuna-network/Ajuna.SDK,d7a3403beeb617e785942021b31d7eb7581876bd,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,OK
AlgoCash,https://github.com/ReserveLabs/AlgoCash,64097eedd3677ce595e0538c6df0149f21a0f816,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,18,0,4,0,0,0,0,0,OK
anagolay-project-idiyanale-phase,https://github.com/anagolay/w3f-grant-support-repo,d3c2cc09a8f9aa56c079814ed1b201a3abd8eab5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK
anchor,https://github.com/ff13dfly/Anchor,4ff4976a5f767c82844417f03ff376e677a8164c,0,1,0,0,0,0,0,0,1,0,1,1,1,2,4,2,1,0,0,0,0,0,138,0,0,OK
apron-network,https://github.com/Apron-Network/apron-node,3c1a9efced6093e5788e4f3da87ec5fe981f356f,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,OK
ares_protocol,https://github.com/aresprotocols/ares-module,b4a9e0a0c8b7c5c1ba0919769ba372d62b848e3d,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,21,77,1192,8,OK
ArtZero_InkWhale,https://github.com/ArtZero-io/Contracts,fe205b8203987ac3bfcdde5d0f969f5ad49e5ace,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,167,0,0,0,219,69,148,0,OK
assemblyscript-scale-codec,https://github.com/LimeChain/as-scale-codec,9d70bd6a2dcb8eca2afbe7d90ef2361771819eb3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27,5,29,0,OK
Awesome-Polka,https://github.com/tolgayayci/awesome-polka,a0a838df2470660d9d14050890366495781704d5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OK
BandersnatchVRF,https://github.com/Esscrypt/bandersnatch-vrf,6a25211ad95c84d0b259bac7bc49d6f798d44d2b,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,81,85,18,0,OK
bit_country,https://github.com/bit-country/Bit-Country-Blockchain,375aaf8a97aa5edd684fbc07697290575e1cb114,1,0,1,0,1,0,1,0,1,1,1,1,0,24,0,71,12,16,0,3,0,0,0,0,0,OK
blackprint_js,https://github.com/Blackprint/Blackprint,01e95e1cd41117b1b33db1c2fa83f8b2b5c58ee6,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,48,22,0,OK
bright_tresury,https://github.com/bright/bright-tresury,689b6c08dde426701bbab2685043660dfa22518e,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1222,1232,750,149,OK
calamar,https://github.com/topmonks/calamar,76954c810465eafaab7755d7c19308cc36726d17,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,507,419,66,0,OK
candle_auction_ink,https://github.com/agryaznov/candle-auction-ink,f6e3c53ac9dc622cb79052c9ba010bdc54d4bef9,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8,0,1,0,0,0,0,0,OK
canyon_network_phrase,https://github.com/canyon-network/canyon,48e5f1da23da30f922d174a1975995eba64de21a,1,0,1,0,0,0,1,0,1,0,0,1,0,4,0,10,2,0,0,0,5,0,0,0,0,OK
