network,proposal_type,post_id,title,requested_dot,proposer,planned_fte,planned_duration_months,team_size,documented_pm_explicit,sum_milestone_duration_months,n_github_repos,github_repos,url,status
polkadot,treasury_proposals,1817,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1816,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1815,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1814,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1813,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1812,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1811,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1810,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1809,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1808,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1807,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1806,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1805,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1804,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1803,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1802,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1801,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1800,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1799,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1798,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1797,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1796,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1795,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1794,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1793,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1792,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1791,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1790,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1789,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1788,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1787,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1786,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1785,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1784,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1783,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1782,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1781,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1780,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1779,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1778,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1777,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1776,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1775,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1774,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1773,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1772,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1771,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1770,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1769,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1768,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1767,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1766,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1765,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1764,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1763,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1762,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1761,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1760,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1759,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1758,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1757,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1756,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1755,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1754,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1753,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1752,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1751,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1750,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1749,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1748,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1747,,,,,,,,,,,,NO_DETAIL
