project_id,ksloc,pm_actual,E,SF_PREC,SF_FLEX,SF_RESL,SF_TEAM,SF_PMAT,RELY,DATA,CPLX,RUSE,DOCU,TIME,STOR,PVOL,ACAP,PCAP,PCON,APEX,PLEX,LTEX,TOOL,SITE,SCED,BC_BEM,BC_DC,BC_EM_GAS,BC_EM_AUD,BC_EM_MC,BC_EM_REG,BC_EM_NODE,pm_pred
epirus_substrate-phase2,16.386,19.0,1.0841,N,N,N,N,H,N,N,H,N,N,H,N,N,N,N,N,N,N,N,H,N,N,1.0,1.0,1.05,1.0,1.0,1.0,1.0,111.194
fair_squares,17.405,38.0,1.0841,N,N,N,N,H,N,N,H,N,H,N,N,H,N,N,N,N,N,N,H,N,N,1.0,1.1,1.0,1.0,1.0,1.0,1.1,157.318
fennel-protocol,2.167,10.0,1.0982,N,N,L,N,H,N,N,H,N,N,N,N,H,N,N,N,N,N,N,H,N,N,1.0,1.1,1.0,1.0,1.0,1.0,1.1,14.972
FIAT-on-off-ramp,3.414,11.0,1.07,N,N,H,N,H,N,N,N,N,H,N,N,N,N,N,N,N,N,N,N,N,N,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.049
fractapp,20.624,28.0,1.0856,N,N,H,N,N,N,N,H,N,H,N,N,H,N,N,N,N,N,N,N,N,N,1.0,1.1,1.0,1.0,1.0,1.0,1.0,191.872
galaxy,1.866,5.0,1.0841,N,N,N,N,H,N,N,H,N,N,N,N,H,N,N,N,N,N,N,N,N,N,1.0,1.1,1.0,1.0,1.0,1.0,1.0,12.72
GenesisDAO,5.376,10.0,1.07,N,N,H,N,H,N,N,H,N,H,N,N,H,N,N,N,N,N,N,N,N,N,1.0,1.1,1.0,1.0,1.0,1.0,1.1,47.765
gluon,5.32,9.0,1.0824,L,N,H,N,H,N,N,VH,N,H,N,N,H,N,N,N,N,N,N,N,N,N,1.0,1.1,1.0,1.0,1.0,1.0,1.0,50.208
grant_management_webapp,3.713,3.0,1.0997,N,N,N,N,N,N,N,H,N,N,N,N,H,N,N,N,N,N,N,L,N,N,1.0,1.1,1.0,1.0,1.0,1.0,1.0,29.837
halva_bootstrapping,1.765,8.0,1.0856,N,N,H,N,N,N,N,H,N,H,H,N,N,N,N,N,N,N,N,N,N,N,1.0,1.0,1.05,1.0,1.0,1.0,1.0,12.258
hamster-millestone,4.268,7.0,1.0997,N,N,N,N,N,N,N,H,N,H,N,N,H,N,N,N,N,N,N,L,N,N,1.0,1.1,1.0,1.0,1.0,1.0,1.1,42.463
hybrid-node-research,3.29,2.0,1.0856,N,N,H,N,N,N,N,N,N,H,N,N,N,N,N,N,N,N,N,L,N,N,1.0,1.0,1.0,1.0,1.2,1.0,1.0,23.117
Hyperdot,5.263,5.0,1.0856,N,N,H,N,N,N,N,N,N,H,N,N,N,N,N,N,N,N,N,L,N,N,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.081
idavoll_network,2.853,16.0,1.1294,N,N,L,N,L,N,N,H,N,N,N,N,H,N,N,N,N,N,N,L,N,N,1.0,1.1,1.0,1.0,1.0,1.0,1.1,25.342
identity_directory,1.661,14.0,1.07,N,N,H,N,H,N,N,H,N,H,N,N,H,N,N,N,N,N,N,N,N,N,1.0,1.1,1.0,1.0,1.0,1.0,1.0,12.357
imbue_network,4.338,9.0,1.1138,N,N,L,N,N,N,N,H,N,N,N,N,H,N,N,N,N,N,N,N,N,N,1.0,1.1,1.0,1.0,1.2,1.0,1.1,43.772
ink-analyzer-phase,38.891,13.0,1.0841,N,N,N,N,H,N,N,H,N,N,H,N,N,N,N,N,N,N,N,H,N,N,1.0,1.0,1.05,1.0,1.0,1.0,1.0,283.809
